Jurisdiction,,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,
, Male,194,199,190,208,213,208,177,201,310,434,953,1114,1746,2155,2098,1524,1606,380,562,746,308,222,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
, Female,16,22,13,9,20,19,14,6,4,6,19,22,34,42,41,36,46,16,44,70,39,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Florida,,517,485,523,698,736,723,609,685,920,1140,1501,1358,749,352,199,253,339,298,244,202,167,138,90,76,66,73,105,99,19,8,12,13,14,8,9,9,11,7,1,
, Male,493,458,509,692,720,700,596,665,885,1099,1425,1270,703,328,188,248,318,269,185,188,157,127,83,73,62,69,100,88,18,8,11,11,14,8,9,9,11,7,1, 
, Female,24,27,14,6,16,23,13,20,35,41,76,88,46,24,11,5,21,29,59,14,10,11,7,3,4,4,5,11,1,0,1,2,0,0,0,0,0,0,0, 
Georgia,,369,420,359,377,320,233,183,169,130,176,173,118,96,92,113,107,120,81,79,82,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
, Male,346,381,318,336,277,208,164,152,114,152,145,102,86,79,98,101,109,68,72,74,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
, Female,23,39,41,41,43,25,19,17,16,24,28,16,10,13,15,6,11,13,7,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Hawaii,,14,10,23,6,0,0,0,0,0,0,6,0,7,3,5,8,6,3,80,25,26,59,15,18,22,21,21,22,10,11,14,17,7,9,16,34,38,47,19,
, Male,14,10,23,6,0,0,0,0,0,0,5,0,7,1,5,8,6,2,49,23,26,49,14,16,18,18,19,20,10,10,12,17,3,6,16,33,36,36,18, 
, Female,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,31,2,0,10,1,2,4,3,2,2,0,1,2,0,4,3,0,1,2,11,1, 
Idaho,,10,21,12,13,32,14,11,16,15,12,3,12,4,9,6,13,7,4,13,10,0,12,21,11,14,6,12,5,12,8,12,13,7,10,7,0,6,5,1,
, Male,10,21,12,13,32,12,10,15,15,12,3,11,4,9,5,11,5,4,13,10,0,10,19,11,13,5,12,1,12,8,12,11,6,10,6,0,5,4,0, 
, Female,0,0,0,0,0,2,1,1,0,0,0,1,0,0,1,2,2,0,0,0,0,2,2,0,1,1,0,4,0,0,0,2,1,0,1,0,1,1,1, 
Illinois,,38,43,43,101,258,205,226,130,154,115,66,102,171,180,183,764,893,1002,1012,1028,892,792,641,286,192,179,142,144,149,60,39,84,67,63,62,62,64,0,13,
, Male,14,39,42,98,240,176,178,98,98,71,50,68,155,159,170,722,820,882,884,897,769,689,562,237,178,167,131,143,149,59,38,78,64,61,60,59,62,0,12, 
, Female,24,4,1,3,18,29,48,32,56,44,16,34,16,21,13,42,73,120,128,131,123,103,79,49,14,12,11,1,0,1,1,6,3,2,2,3,2,0,1, 
Indiana,,43,71,81,73,99,116,85,86,82,83,73,59,21,7,16,12,8,18,8,18,17,10,14,9,9,8,14,17,0,179,140,110,85,93,56,41,55,121,104,
, Male,42,70,78,72,89,113,78,71,71,77,61,52,20,5,14,7,7,15,5,14,17,7,13,8,9,7,13,13,0,142,113,87,69,77,44,26,46,100,94, 
, Female,1,1,3,1,10,3,7,15,11,6,12,7,1,2,2,5,1,3,3,4,0,3,1,1,0,1,1,4,0,37,27,23,16,16,12,15,9,21,10, 
Iowa,,50,100,146,186,169,139,122,141,118,157,205,176,187,208,217,384,603,562,596,622,618,502,400,471,585,642,229,7,1,1,1,0,3,32,248,241,292,375,454,
, Male,44,89,130,169,162,133,118,133,113,153,198,169,180,200,209,339,515,468,502,522,503,403,343,407,504,541,229,6,1,1,1,0,3,26,215,208,240,311,374, 
, Female,6,11,16,17,7,6,4,8,5,4,7,7,7,8,8,45,88,94,94,100,115,99,57,64,81,101,0,1,0,0,0,0,0,6,33,33,52,64,80, 
Kansas,,44,40,46,53,49,31,26,31,34,35,49,70,41,48,36,25,26,24,12,6,8,6,11,4,3,2,5,7,21,16,6,17,9,12,18,19,7,8,5,
, Male,37,40,46,53,47,29,26,29,28,33,49,68,39,44,31,20,22,24,12,6,8,6,10,4,3,2,4,7,20,16,6,16,8,11,17,19,7,6,5, 
, Female,7,0,0,0,2,2,0,2,6,2,0,2,2,4,5,5,4,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,2,0, 
Kentucky,,87,89,113,130,126,96,100,78,91,60,90,112,82,90,137,123,111,107,117,111,88,110,124,89,109,94,200,99,91,115,135,89,111,118,135,81,115,86,104,
, Male,87,86,111,130,123,96,94,75,84,56,84,105,80,88,133,121,102,99,112,102,84,103,118,85,105,88,182,93,80,104,118,78,97,102,121,70,104,81,84, 
, Female,0,3,2,0,3,0,6,3,7,4,6,7,2,2,4,2,9,8,5,9,4,7,6,4,4,6,18,6,11,11,17,11,14,16,14,11,11,5,20, 
Louisiana,,84,89,109,70,70,93,70,45,47,39,45,62,68,100,100,71,100,92,84,95,97,104,67,108,91,133,104,135,144,1175,544,626,218,253,136,108,82,82,91,
, Male,79,87,106,68,69,90,69,43,47,34,44,61,68,90,99,69,97,90,81,95,95,101,67,103,86,129,99,129,141,1050,497,565,206,249,128,105,79,76,86, 
, Female,5,2,3,2,1,3,1,2,0,5,1,1,0,10,1,2,3,2,3,0,2,3,0,5,5,4,5,6,3,125,47,61,12,4,8,3,3,6,5, 
Maine,,1,1,1,4,5,7,0,6,5,11,7,6,7,6,9,8,7,8,8,0,8,2,7,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
, Male,1,1,1,4,5,7,0,6,5,11,7,6,7,6,9,8,7,8,8,0,8,2,7,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, 
, Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Maryland,,355,510,535,495,229,130,134,87,99,102,85,90,124,128,103,127,103,102,103,95,102,88,113,126,123,112,139,191,200,170,135,91,51,49,40,32,32,23,18,
, Male,347,499,512,476,220,119,129,86,96,98,82,85,124,127,101,121,103,96,98,87,101,84,105,116,117,110,132,178,192,161,129,88,49,42,37,31,31,23,18, 
, Female,8,11,23,19,9,11,5,1,3,4,3,5,0,1,2,6,0,6,5,8,1,4,8,10,6,2,7,13,8,9,6,3,2,7,3,1,1,0,0, 
Massachusetts,,164,164,159,208,246,290,252,239,275,229,148,124,117,131,66,74,34,21,15,14,16,15,6,3,5,6,6,13,6,4,6,6,4,4,4,4,4,2,2,
, Male,149,149,143,196,229,277,243,234,272,223,143,116,112,112,65,64,32,20,14,14,13,14,5,3,5,6,6,12,6,3,3,5,4,3,3,4,4,2,1, 
, Female,15,15,16,12,17,13,9,5,3,6,5,8,5,19,1,10,2,1,1,0,3,1,1,0,0,0,0,1,0,1,3,1,0,1,1,0,0,0,1, 
Michigan,,859,1043,1123,1563,1446,1204,1095,1219,928,594,581,638,840,748,816,1177,1229,943,1011,1053,1067,931,883,865,621,353,260,128,68,42,31,14,2,1,1,0,1,0,2,
, Male,776,920,991,1393,1308,1095,964,1120,831,545,544,598,798,706,747,1067,1093,815,878,934,944,826,789,787,555,317,242,117,62,38,25,13,2,1,1,0,1,0,2, 
, Female,83,123,132,170,138,109,131,99,97,49,37,40,42,42,69,110,136,128,133,119,123,105,94,78,66,36,18,11,6,4,6,1,0,0,0,0,0,0,0, 
Minnesota,,31,43,46,29,39,12,14,18,27,15,37,9,43,17,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
, Male,20,32,34,24,27,11,10,15,26,12,29,7,42,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
, Female,11,11,12,5,12,1,4,3,1,3,8,2,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Mississippi,,21,42,50,72,123,58,54,77,69,70,63,61,57,56,60,41,41,49,39,72,44,30,136,66,109,82,118,132,135,86,119,9,9,6,10,7,6,4,0,
, Male,21,42,49,70,123,57,53,77,69,69,63,60,57,56,59,41,40,49,39,65,41,28,121,59,100,73,101,113,119,78,105,9,8,6,10,7,6,4,0, 
, Female,0,0,1,2,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,7,3,2,15,7,9,9,17,19,16,8,14,0,1,0,0,0,0,0,0, 
Missouri,,25,66,93,169,246,239,262,279,364,388,0,0,0,0,351,600,774,832,1215,908,760,648,728,668,796,1131,1119,1128,1194,1016,678,8,12,4,8,8,7,5,4,
, Male,21,61,84,164,245,239,260,267,342,352,0,0,0,0,310,543,710,750,1112,820,671,572,646,600,708,998,1016,1035,1054,925,608,8,12,4,7,7,7,5,4, 
, Female,4,5,9,5,1,0,2,12,22,36,0,0,0,0,41,57,64,82,103,88,89,76,82,68,88,133,103,93,140,91,70,0,0,0,1,1,0,0,0, 
Montana,,13,9,18,32,34,24,24,35,25,26,29,24,21,33,40,0,42,0,0,35,33,32,23,26,39,42,37,75,50,62,46,33,23,0,0,0,0,0,0,
, Male,13,6,18,31,31,24,22,31,25,24,22,22,19,31,38,0,42,0,0,35,32,30,18,18,31,37,35,66,41,53,35,29,19,0,0,0,0,0,0, 
, Female,0,3,0,1,3,0,2,4,0,2,7,2,2,2,2,0,0,0,0,0,1,2,5,8,8,5,2,9,9,9,11,4,4,0,0,0,0,0,0, 
Nebraska,,26,30,11,0,27,27,25,16,19,16,26,28,18,12,13,11,13,34,19,15,20,19,21,21,41,21,29,30,38,27,22,24,26,36,48,28,18,20,13,
, Male,24,26,8,0,26,27,23,16,19,16,26,24,15,10,10,9,11,30,16,12,19,16,19,21,39,20,27,26,29,24,22,22,23,34,45,22,17,18,11, 
, Female,2,4,3,0,1,0,2,0,0,0,0,4,3,2,3,2,2,4,3,3,1,3,2,0,2,1,2,4,9,3,0,2,3,2,3,6,1,2,2, 
Nevada,,13,17,35,19,35,22,17,37,27,33,36,34,39,43,56,68,49,87,42,0,0,0,0,0,0,0,18,22,56,59,0,0,0,0,0,0,0,0,0,
, Male,11,17,35,19,34,22,17,37,27,28,29,28,33,42,52,51,41,70,37,0,0,0,0,0,0,0,17,19,40,42,0,0,0,0,0,0,0,0,0, 
, Female,2,0,0,0,1,0,0,0,0,5,7,6,6,1,4,17,8,17,5,0,0,0,0,0,0,0,1,3,16,17,0,0,0,0,0,0,0,0,0, 
New Hampshire,,1,8,5,19,15,18,19,10,11,8,3,10,14,15,12,16,27,14,15,15,13,16,15,10,12,8,1,5,0,5,0,1,5,9,10,7,8,9,10,
, Male,1,8,5,18,15,17,19,9,11,8,3,9,14,12,11,14,26,14,15,15,12,14,12,9,9,8,1,5,0,3,0,0,5,8,8,7,8,7,9, 
